dataset,file_type,user_id,screen_name,label,subset,followers_count,friends_count,statuses_count,favourites_count,listed_count,created_at,verified,description,location,default_profile_image,source,tweet_id,text,in_reply_to_user_id
cresci_2015,users,713380862,brucervpp,bot,INT,6.0,204.0,17.0,0.0,0.0,Tue Jul 24 00:20:18 +0000 2012,,I come.... I fuckshi up.... I leave.,In the clouds,,cresci_2015,,,
cresci_2015,users,118024286,jungleLella87,bot,E13,126.0,650.0,1656.0,20.0,0.0,Sat Feb 27 10:33:13 +0000 2010,,"rompipalle patentata e certificata, nonché grandissimo genio incompreso! :D",,,cresci_2015,,,
cresci_2015,users,1382419244,EulahBurton1,bot,INT,0.0,15.0,2.0,0.0,0.0,Fri Apr 26 17:12:08 +0000 2013,,,In my own world,,cresci_2015,,,
cresci_2015,users,1174644632,CyrrnzGearldine,bot,FSF,6.0,190.0,28.0,0.0,0.0,Wed Feb 13 09:49:30 +0000 2013,,@justinbieber  said having a little success with the opposite sex is a matter of running a simle concept:do not be a #JERK,Theworld:],,cresci_2015,,,
cresci_2015,users,922305175,FrancescaLosant,bot,E13,2.0,20.0,423.0,0.0,0.0,Sat Nov 03 02:52:49 +0000 2012,,"Mamma, moglie e fotografa per passione",,,cresci_2015,,,
cresci_2015,users,226964193,EarthquakeMG,bot,E13,260.0,350.0,16490.0,1492.0,2.0,Wed Dec 15 15:06:48 +0000 2010,,"Mariagrazia, 21 years old. || Hypersensitive. Irascible. Asocial. Incoherent. Obsesses with tidiness. Touchy. Lazy. Moody. Too kind. Too thoughtful. Dreamer. ||",Palermo,,cresci_2015,,,
cresci_2015,users,611783684,lasabrimaio,bot,E13,67.0,319.0,323.0,0.0,1.0,Mon Jun 18 15:59:08 +0000 2012,,"Ascolto, osservo, tocco, annuso, assaggio. E scrivo.",,,cresci_2015,,,
cresci_2015,users,1175872345,WoolardjuaLatin,bot,FSF,9.0,208.0,19.0,0.0,0.0,Wed Feb 13 16:13:08 +0000 2013,,i m nterested to write about electronic cigrettes,canada,,cresci_2015,,,
cresci_2015,users,507498746,nalezzai,bot,E13,117.0,295.0,1088.0,12.0,0.0,Tue Feb 28 15:14:45 +0000 2012,,La mia sarditÃ  puÃ² non piacere ad alcuni ma io sono fiera di essere sarda. ,,,cresci_2015,,,
cresci_2015,users,384932218,PensieroModerat,bot,E13,77.0,436.0,600.0,47.0,0.0,Tue Oct 04 15:47:35 +0000 2011,,voce critica dei moderati campani.,Campania,,cresci_2015,,,
